step,actic loss,critic loss,average distance,time
2300,-2.4375,1.8372,6.9325,0min2sec
2310,-2.4271,1.8300,6.9209,0min2sec
2320,-2.4172,1.8229,6.9095,0min2sec
2330,-2.4072,1.8158,6.8980,0min2sec
2340,-2.3973,1.8087,6.8866,0min2sec
2350,-2.3877,1.8018,6.8755,0min2sec
2360,-2.3777,1.7949,6.8643,0min2sec
2370,-2.3681,1.7880,6.8532,0min2sec
2380,-2.3586,1.7812,6.8423,0min2sec
2390,-2.3491,1.7744,6.8315,0min2sec
2400,-2.3395,1.7677,6.8206,0min2sec
2410,-2.3301,1.7610,6.8098,0min2sec
2420,-2.3208,1.7544,6.7992,0min2sec
2430,-2.3118,1.7478,6.7886,0min2sec
2440,-2.3027,1.7414,6.7781,0min2sec
2450,-2.2937,1.7350,6.7678,0min2sec
2460,-2.2849,1.7286,6.7575,0min2sec
2470,-2.2758,1.7222,6.7473,0min2sec
2480,-2.2674,1.7159,6.7371,0min2sec
2490,-2.2586,1.7097,6.7270,0min2sec
2500,-2.2498,1.7035,6.7171,0min2sec
2510,-2.2414,1.6974,6.7071,0min2sec
2520,-2.2329,1.6913,6.6972,0min2sec
2530,-2.2248,1.6852,6.6874,0min2sec
2540,-2.2163,1.6792,6.6776,0min2sec
2550,-2.2081,1.6733,6.6679,0min2sec
2560,-2.1998,1.6675,6.6584,0min2sec
2570,-2.1913,1.6618,6.6490,0min2sec
2580,-2.1836,1.6559,6.6396,0min2sec
2590,-2.1754,1.6501,6.6301,0min2sec
2600,-2.1674,1.6443,6.6207,0min2sec
2610,-2.1594,1.6386,6.6114,0min2sec
2620,-2.1516,1.6330,6.6022,0min2sec
2630,-2.1437,1.6273,6.5931,0min2sec
2640,-2.1358,1.6218,6.5840,0min2sec
2650,-2.1281,1.6162,6.5750,0min1sec
2660,-2.1203,1.6107,6.5661,0min2sec
2670,-2.1125,1.6052,6.5573,0min2sec
2680,-2.1048,1.5998,6.5483,0min2sec
2690,-2.0975,1.5944,6.5395,0min2sec
2700,-2.0902,1.5891,6.5308,0min2sec
2710,-2.0824,1.5838,6.5222,0min2sec
2720,-2.0750,1.5786,6.5137,0min2sec
2730,-2.0678,1.5734,6.5051,0min2sec
2740,-2.0607,1.5682,6.4967,0min2sec
2750,-2.0532,1.5630,6.4883,0min2sec
2760,-2.0459,1.5579,6.4800,0min2sec
2770,-2.0387,1.5528,6.4718,0min2sec
2780,-2.0316,1.5478,6.4635,0min2sec
2790,-2.0246,1.5428,6.4555,0min2sec
2800,-2.0177,1.5378,6.4474,0min2sec
2810,-2.0108,1.5328,6.4394,0min2sec
2820,-2.0039,1.5279,6.4314,0min2sec
2830,-1.9972,1.5230,6.4235,0min2sec
2840,-1.9903,1.5182,6.4156,0min2sec
2850,-1.9836,1.5134,6.4077,0min2sec
2860,-1.9768,1.5086,6.3999,0min2sec
2870,-1.9704,1.5039,6.3922,0min2sec
2880,-1.9637,1.4992,6.3845,0min2sec
2890,-1.9570,1.4945,6.3769,0min2sec
2900,-1.9508,1.4899,6.3693,0min2sec
2910,-1.9442,1.4852,6.3617,0min2sec
2920,-1.9377,1.4806,6.3542,0min2sec
2930,-1.9312,1.4761,6.3467,0min2sec
2940,-1.9249,1.4716,6.3394,0min2sec
2950,-1.9187,1.4671,6.3322,0min2sec
2960,-1.9123,1.4627,6.3251,0min2sec
2970,-1.9065,1.4583,6.3178,0min2sec
2980,-1.9002,1.4539,6.3107,0min2sec
2990,-1.8942,1.4496,6.3035,0min2sec
3000,-1.8882,1.4452,6.2964,0min2sec
3010,-1.8819,1.4409,6.2894,0min2sec
3020,-1.8761,1.4366,6.2824,0min2sec
3030,-1.8698,1.4324,6.2754,0min2sec
3040,-1.8639,1.4281,6.2685,0min2sec
3050,-1.8579,1.4239,6.2617,0min2sec
3060,-1.8518,1.4197,6.2548,0min2sec
3070,-1.8460,1.4156,6.2481,0min2sec
3080,-1.8402,1.4114,6.2414,0min2sec
3090,-1.8345,1.4073,6.2348,0min2sec
3100,-1.8289,1.4032,6.2283,0min2sec
3110,-1.8232,1.3992,6.2216,0min2sec
3120,-1.8176,1.3951,6.2151,0min2sec
3130,-1.8120,1.3911,6.2085,0min2sec
3140,-1.8065,1.3871,6.2020,0min2sec
3150,-1.8011,1.3832,6.1956,0min2sec
3160,-1.7956,1.3793,6.1892,0min2sec
3170,-1.7902,1.3753,6.1828,0min2sec
3180,-1.7848,1.3714,6.1764,0min2sec
3190,-1.7795,1.3676,6.1701,0min2sec
3200,-1.7742,1.3637,6.1638,0min2sec
3210,-1.7688,1.3599,6.1576,0min2sec
3220,-1.7635,1.3561,6.1513,0min2sec
3230,-1.7583,1.3523,6.1452,0min2sec
3240,-1.7529,1.3486,6.1390,0min2sec
3250,-1.7478,1.3449,6.1330,0min2sec
3260,-1.7425,1.3411,6.1268,0min2sec
3270,-1.7373,1.3374,6.1208,0min2sec
3280,-1.7322,1.3337,6.1147,0min2sec
3290,-1.7271,1.3301,6.1088,0min2sec
3300,-1.7223,1.3265,6.1029,0min2sec
3310,-1.7172,1.3230,6.0970,0min2sec
3320,-1.7123,1.3194,6.0911,0min2sec
3330,-1.7075,1.3158,6.0853,0min2sec
3340,-1.7025,1.3123,6.0795,0min2sec
3350,-1.6976,1.3087,6.0737,0min2sec
3360,-1.6928,1.3052,6.0680,0min2sec
3370,-1.6880,1.3017,6.0623,0min2sec
3380,-1.6833,1.2982,6.0566,0min2sec
3390,-1.6784,1.2948,6.0509,0min2sec
3400,-1.6737,1.2913,6.0453,0min2sec
3410,-1.6690,1.2879,6.0397,0min2sec
3420,-1.6643,1.2845,6.0342,0min2sec
3430,-1.6596,1.2811,6.0289,0min2sec
3440,-1.6549,1.2777,6.0235,0min2sec
3450,-1.6503,1.2744,6.0181,0min2sec
3460,-1.6458,1.2711,6.0127,0min2sec
3470,-1.6412,1.2678,6.0073,0min2sec
3480,-1.6367,1.2645,6.0020,0min2sec
3490,-1.6322,1.2612,5.9967,0min2sec
3500,-1.6276,1.2580,5.9915,0min2sec
3510,-1.6232,1.2547,5.9862,0min2sec
3520,-1.6187,1.2515,5.9810,0min1sec
3530,-1.6144,1.2483,5.9758,0min2sec
3540,-1.6099,1.2451,5.9707,0min2sec
3550,-1.6055,1.2419,5.9655,0min2sec
3560,-1.6012,1.2388,5.9604,0min2sec
3570,-1.5969,1.2357,5.9553,0min2sec
3580,-1.5926,1.2326,5.9503,0min2sec
3590,-1.5883,1.2295,5.9453,0min2sec
3600,-1.5841,1.2264,5.9403,0min2sec
3610,-1.5798,1.2234,5.9354,0min2sec
3620,-1.5757,1.2203,5.9305,0min2sec
3630,-1.5716,1.2173,5.9256,0min2sec
3640,-1.5673,1.2143,5.9207,0min2sec
3650,-1.5633,1.2113,5.9158,0min2sec
3660,-1.5593,1.2083,5.9110,0min2sec
3670,-1.5552,1.2053,5.9062,0min2sec
3680,-1.5513,1.2024,5.9015,0min1sec
3690,-1.5471,1.1994,5.8967,0min2sec
3700,-1.5431,1.1965,5.8919,0min2sec
3710,-1.5390,1.1936,5.8872,0min2sec
3720,-1.5352,1.1907,5.8824,0min2sec
3730,-1.5312,1.1878,5.8778,0min2sec
3740,-1.5272,1.1850,5.8732,0min2sec
3750,-1.5232,1.1821,5.8686,0min2sec
3760,-1.5194,1.1793,5.8640,0min2sec
3770,-1.5155,1.1765,5.8594,0min2sec
3780,-1.5116,1.1736,5.8548,0min2sec
3790,-1.5078,1.1709,5.8503,0min2sec
3800,-1.5039,1.1681,5.8459,0min2sec
3810,-1.5003,1.1653,5.8414,0min2sec
3820,-1.4966,1.1626,5.8369,0min2sec
3830,-1.4929,1.1599,5.8325,0min2sec
3840,-1.4892,1.1571,5.8280,0min2sec
3850,-1.4854,1.1544,5.8236,0min2sec
3860,-1.4817,1.1517,5.8192,0min2sec
3870,-1.4781,1.1490,5.8148,0min2sec
3880,-1.4744,1.1463,5.8104,0min2sec
3890,-1.4708,1.1436,5.8061,0min2sec
3900,-1.4672,1.1409,5.8017,0min2sec
3910,-1.4635,1.1383,5.7975,0min2sec
3920,-1.4599,1.1357,5.7932,0min2sec
3930,-1.4564,1.1330,5.7890,0min2sec
3940,-1.4529,1.1304,5.7848,0min2sec
3950,-1.4493,1.1278,5.7806,0min2sec
3960,-1.4458,1.1253,5.7764,0min2sec
3970,-1.4423,1.1227,5.7722,0min2sec
3980,-1.4388,1.1201,5.7681,0min2sec
3990,-1.4353,1.1176,5.7640,0min2sec
4000,-1.4319,1.1151,5.7599,0min2sec
4010,-1.4284,1.1126,5.7558,0min2sec
4020,-1.4250,1.1101,5.7518,0min1sec
4030,-1.4216,1.1075,5.7477,0min2sec
4040,-1.4182,1.1051,5.7437,0min2sec
4050,-1.4148,1.1027,5.7398,0min2sec
4060,-1.4113,1.1003,5.7358,0min2sec
4070,-1.4080,1.0979,5.7319,0min2sec
4080,-1.4047,1.0954,5.7280,0min2sec
4090,-1.4014,1.0930,5.7241,0min2sec
4100,-1.3982,1.0906,5.7203,0min2sec
4110,-1.3950,1.0882,5.7164,0min2sec
4120,-1.3918,1.0858,5.7125,0min2sec
4130,-1.3886,1.0834,5.7087,0min2sec
4140,-1.3855,1.0811,5.7049,0min2sec
4150,-1.3820,1.0788,5.7011,0min2sec
4160,-1.3788,1.0765,5.6973,0min2sec
4170,-1.3758,1.0742,5.6936,0min2sec
4180,-1.3727,1.0718,5.6899,0min2sec
4190,-1.3696,1.0695,5.6861,0min2sec
4200,-1.3665,1.0672,5.6824,0min2sec
4210,-1.3634,1.0649,5.6787,0min2sec
4220,-1.3603,1.0627,5.6750,0min2sec
